,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
72,ID4,1.541374,2.5475512,0.010848192035982928,VIP,0.65233713,1.3432688,0.17918495410512048,ABCF2,0.36815205,1.8074596,0.0706906488967729,CREB1,0.9846927,1.1725739,0.24096669355640177,CLDN3,0.97472084,2.2105074,0.027069972123803892,AGR2,0.3889608,1.9361998,0.052843238388297645,HSPA2,1.993318,4.5461817,5.4627930720329e-06
73,ADH1B,1.9049989,2.516343,0.011857965659391165,GTF2A2,0.39941752,1.3417828,0.1796664418436118,PHAX,0.41487375,1.7973475,0.07228045644855124,AP1B1,0.36303437,1.1644455,0.2442435112441711,IFI6,0.26782867,2.1949518,0.028167057510291863,CXXC5,0.30382338,1.9341842,0.05309047997057497,PLEKHB1,0.8649539,4.484038,7.3243665317955405e-06
74,APLNR,2.9172451,2.4887109,0.012820717766453967,CTDNEP1,0.31040785,1.3280675,0.18415581233823675,DISP2,0.5416707,1.7873052,0.07388817190910811,MADD,0.22314955,1.1592201,0.2463664878358276,CRYAB,0.23571585,2.179947,0.029261401674348597,TSC22D4,0.256034,1.9273077,0.05394129483369736,GPRC5B,0.95470685,4.4766426,7.582606611391964e-06
75,LRP4,1.4903892,2.464814,0.013708440318228368,GOLGA7B,0.3767095,1.3230491,0.1858190462391609,GOLGA7B,0.3061525,1.7824582,0.07467455285068864,ZNF503,1.0036784,1.1392785,0.2545869814300534,SPDEF,0.73460376,2.175318,0.029606291848500256,IGHG3,0.93448126,1.9143252,0.055578607594132336,KLK6,2.7334712,4.4107213,1.0302675392153792e-05
76,AL031056.1,3.591671,2.4102678,0.015940818570254513,UBAC1,0.3684613,1.304218,0.19215925999336125,VEGFB,0.14615464,1.7785164,0.07531908123290788,GALNT6,0.52396303,1.1362638,0.25584613353688923,CD9,0.36325336,2.164202,0.030448849558670322,NEAT1,0.30399787,1.9079032,0.05640372658587587,EFHD1,1.5475192,4.275603,1.9062079289471606e-05
77,PSAT1,1.0774335,2.4064047,0.01611041029521111,HINT3,0.3253706,1.291331,0.19658892120186378,SURF4,0.30666557,1.7495314,0.08019920364274032,SLC25A26,0.49962026,1.1289394,0.25892341443325395,EDIL3,0.36286256,2.154755,0.031181003720556003,SCUBE2,0.89580065,1.9077847,0.0564190549031852,SLC44A1,1.4537835,4.0648923,4.8054642162434005e-05
78,ID1,1.2778767,2.3587704,0.01833559482554294,ACVR1C,1.4678541,1.2883834,0.19761256059478305,H1F0,0.2878138,1.6973417,0.08963207247244298,KRT18,0.1408201,1.1067424,0.2684053034754176,LTF,0.5205854,2.1371002,0.03258984086113427,LIMK1,0.42420396,1.9052356,0.05674945336403603,NEAT1,1.138103,4.0573606,4.963045465009521e-05
79,LIX1,2.3708923,2.3050222,0.02116532274677704,MT1X,0.20766959,1.2800031,0.2005440385625482,HPF1,0.36657345,1.6723124,0.09446273429848409,MFSD10,0.37583593,1.1025666,0.27021544199325087,POP7,0.40325668,2.1293397,0.03322616967947393,MYRF,0.818971,1.9041488,0.05689080969034056,XBP1,0.82929844,3.8519518,0.00011718007284627712
80,SAA2,1.603676,2.247826,0.02458727557503998,CLDN5,0.3508686,1.2779812,0.20125607197204642,UBAC1,0.26110306,1.6699585,0.09492757291133679,GRIA3,0.21132948,1.1009141,0.27093405998507725,DBNL,0.4007029,2.0635555,0.03905988507007184,EVI2A,0.7609026,1.8875108,0.059091665125830264,COL3A1,1.7002289,3.8145201,0.00013644788384885328
81,PLTP,1.263566,2.2234824,0.026183295444884073,EXOC6,0.987309,1.2568601,0.208804293656622,CYB5B,0.2529544,1.6677579,0.09536381162906438,CHM,0.6245926,1.0995965,0.27150794969875713,LIN7A,1.3081434,2.051321,0.04023570320901752,KRT18,0.25358957,1.8843491,0.05951777010904232,CERCAM,2.177494,3.7109623,0.00020647278045183242
82,PHGDH,0.8795008,2.158129,0.030917806825123587,SLC15A2,1.003394,1.2553741,0.20934299072651197,ALDH5A1,0.38541612,1.6673678,0.09544128696502419,C15orf61,0.2922523,1.0948178,0.27359649925242446,SUDS3,0.68266106,2.008698,0.044569170465389774,CLPTM1L,0.35858718,1.8787768,0.060274985349692674,TSC22D4,0.7294754,3.7021334,0.00021379407871944154
83,EZR,0.7271234,2.1518075,0.0314125164509614,POP7,0.3136123,1.247408,0.2122479261489475,LIMK1,0.25370777,1.6617129,0.09657035318222328,MAPK9,0.1706955,1.0900389,0.2756960045694916,FAM32A,0.38202912,1.9868101,0.046943446086458514,RGCC,0.42754585,1.8765439,0.06058064155739625,SLAIN1,1.797147,3.640354,0.0002722635691650432
84,PPP1R1B,0.60850495,2.1313746,0.03305829087498054,PLCB1,0.24271035,1.2431692,0.21380549025420448,C15orf61,0.28503132,1.6604176,0.09683047987002982,CYB5B,0.3213868,1.0877612,0.27670056150235856,MPRIP,0.27766803,1.9778966,0.04794037091702927,KRT8,0.20221803,1.8566849,0.063356001609233,HIPK2,1.2934991,3.6397169,0.00027293810255784
85,PTPRZ1,0.7670484,2.0723586,0.038232003665719945,ABLIM1,0.29776636,1.2360557,0.21643783413530948,ZNF593,0.24955656,1.6402493,0.1009533532372729,TCEA1,0.3430454,1.0757694,0.28203037579029155,IGHM,0.89412016,1.9760898,0.0481446041179786,PIGX,0.6029095,1.8179549,0.06907101941797698,S100A10,1.2754279,3.5228703,0.0004269002616796033
86,SOX9,1.2729683,2.0210211,0.04327758840561029,GNB5,0.2890763,1.2012438,0.229656637216187,KCNK12,0.46368277,1.6330065,0.10246763284870537,SPCS1,0.17943844,1.0514288,0.2930617129260842,GMPR2,0.7502281,1.9623927,0.04971678489594164,CACUL1,0.8544949,1.7862597,0.0740572285479396,AQP1,3.0233278,3.4954505,0.00047326204685520435
87,CNN3,0.70552236,2.0129914,0.04411551961360151,TAF6L,1.1625086,1.1932534,0.23277015103502008,AP1B1,0.2176488,1.6321429,0.1026493810757101,SPSB3,0.33722013,1.0341893,0.30104767827119716,CNP,0.17254531,1.9339831,0.053115202651749294,GFAP,0.061030544,1.7821693,0.07472162988037628,ELOVL1,1.7964743,3.4134192,0.000641531937081706
88,PFKFB2,1.3768235,1.921251,0.054700068441455224,JAM2,0.50306195,1.1924982,0.23306595751180692,FLYWCH2,0.28201866,1.6320454,0.10266991713763632,CSTF3,0.5249874,1.0310853,0.3025008222019532,TNFSF10,0.5816424,1.9195117,0.0549196153309335,RPS27L,0.30318007,1.7608086,0.07827081271414278,FA2H,2.6965098,3.285491,0.0010180479105026533
89,NECAB2,0.68556195,1.8947841,0.058121018960481885,CYFIP1,0.48720068,1.1845077,0.23621212271927983,SLC39A6,0.16721256,1.629984,0.10310487365201906,HBA1,0.300443,1.0203218,0.3075758695377667,KPNA1,0.51570606,1.9099615,0.05613817280407638,LHPP,0.3435665,1.7355946,0.0826355455942439,FXYD3,1.3501173,3.2602103,0.001113296332436826
90,ADCYAP1R1,0.96266747,1.8905698,0.05868180131349291,TPRG1L,0.18241528,1.181292,0.23748670084547974,PITPNA,0.17013177,1.5863045,0.11267023259332633,SCGB1D2,0.18598405,1.0197635,0.30784062667960677,TSPAN13,0.23217727,1.8906547,0.058670454587346176,PREX1,0.43937594,1.725675,0.08440590282264682,SOX8,1.7027905,3.2446914,0.0011757794995171046
91,AL078639.1,1.0396128,1.865763,0.06207453981650246,NDUFS8,0.21472773,1.1795624,0.23817427534765312,LETM1,0.3041531,1.5747023,0.11532519171418489,ZRANB1,0.404161,1.005896,0.3144655883227958,LHPP,0.24952976,1.8756154,0.0607081167990565,SLAIN1,0.5406797,1.7167829,0.08601884658916503,TP53INP2,1.4756228,3.2126753,0.001315048754027804
92,NCAN,0.7606412,1.830181,0.06722288346846371,LINC01896,0.6701388,1.1530333,0.2488967245262813,EPM2AIP1,0.2380919,1.5720419,0.11594083150024216,IGFBP5,0.13654652,1.0018765,0.3164032626057106,RASSF2,0.59092444,1.8553106,0.06355189604726133,CSNK1G2,0.4715485,1.7001449,0.08910368464599121,VWA1,1.5014421,3.1150339,0.0018392373983377407
93,STON2,1.4283348,1.8039055,0.07124611720365175,SFT2D1,0.447231,1.1468456,0.25144545076452507,CTDNEP1,0.17227201,1.5680863,0.11686100532525566,MAT2A,0.17292951,0.9906887,0.32183762367408153,COL1A2,0.20528764,1.849959,0.06431945928541773,IGHG4,0.94748867,1.6947701,0.0901190462743786,PLA2G16,1.0117291,3.1088445,0.001878204691263281
94,METTL7A,0.73342437,1.7962592,0.07245330957855646,DIDO1,0.85502344,1.1446531,0.25235289628862434,CFAP298,0.41497675,1.5536704,0.12026306599903465,HRH3,0.63431424,0.99059933,0.3218812555172148,EFNA1,0.47918656,1.8482727,0.06456290790732352,CA2,0.4760497,1.6861744,0.09176221243560924,SLC48A1,0.9824658,2.9487865,0.0031902423534534135
95,ADIPOQ,2.3273354,1.7545633,0.07933403681409067,REPS2,0.24065095,1.1401707,0.25421521599734187,FZR1,0.360398,1.5335299,0.1251453434969576,HMG20A,0.64860326,0.987808,0.32324669610560275,CLPTM1L,0.28659225,1.835195,0.06647680456534874,INTS3,0.6179846,1.6739428,0.09414182941758971,RARRES3,1.2618887,2.9444404,0.003235392964824146
96,AEBP1,0.81883526,1.6938074,0.09030189903365198,RELN,0.4918421,1.1330572,0.25719022804565494,ADAP1,0.17832199,1.5207994,0.1283101957994621,NEAT1,0.12902008,0.9819796,0.3261098902480988,PPP1R14A,0.19382001,1.8185209,0.06898455033578825,NCOR1,0.32984778,1.6657622,0.09576079703951165,AGR3,1.3998522,2.926009,0.0034334113790089374
97,TPPP3,0.7600687,1.6698625,0.09494656369214877,SLC25A18,0.4188341,1.1276734,0.2594578675953152,IFI6,0.12857811,1.4792371,0.13907697460534593,CAMK1G,0.3459499,0.9796795,0.3272443323864471,MRPL47,0.59123313,1.7941724,0.07278566429945786,GNB4,1.254092,1.6631933,0.09627374200092949,SREBF1,1.2186434,2.925349,0.0034407012593146674
98,PTTG1IP,0.8934873,1.6152365,0.1062594965687294,CFAP298,0.44841644,1.1261874,0.2600862081968808,TRAPPC12,0.27565157,1.4629827,0.14347213984525964,AKT1S1,0.52020055,0.9761066,0.3290116479128482,CLIC1,0.38608065,1.7557652,0.07912849989141658,STX1B,0.21366374,1.6533923,0.09825105098375396,FAM107B,2.200996,2.8905113,0.003846158098112146
99,LINC01896,1.236401,1.5918025,0.1114290912773146,ADD3,0.23264766,1.1201702,0.26264123496438496,PPP1R10,0.48449716,1.4603641,0.1441900438266708,CHST10,0.4722035,0.9748784,0.3296205887011948,VPS29,0.23593418,1.751257,0.0799016695913535,AP1M1,0.370762,1.6453499,0.09989767432039984,DAAM2,1.6927689,2.8483918,0.004394078272340118
100,SERPINE2,0.33046108,1.5852895,0.11290057344041293,CSMD3,2.0912662,1.1184406,0.2633788722235523,ARID1A,0.22862326,1.4490124,0.14733411304671842,GATC,0.34431532,0.9736725,0.3302191676122428,PNMA3,0.4101363,1.7416896,0.08156278503538633,MLPH,0.39360613,1.6346992,0.1021121257856704,SMIM22,1.4516943,2.7142289,0.0066430248687937765
101,GNG11,0.9239229,1.536937,0.12430874613532808,RIF1,0.5876967,1.1106694,0.26671067849978003,CLPTM1L,0.14656933,1.4437475,0.14881001706239283,EFNA1,0.3241524,0.9708365,0.33162970820161985,HRH3,0.8974744,1.7396935,0.08191285741012541,ELOVL1,0.5719758,1.6112044,0.10713519271606485,CA2,1.2666187,2.7033064,0.0068653400491293605
102,FZD8,2.0492086,1.5362027,0.12448868421668727,SEPHS1,0.45210773,1.1050663,0.26913083757144696,SEPT9,0.21069512,1.416991,0.15648554412578441,PLEKHB2,0.14705013,0.95737094,0.3383800560862529,GALNT6,0.5252468,1.7386094,0.08210349302215054,SLC44A1,0.37588704,1.6062644,0.1082158515586456,CLIC4,1.7217798,2.6834414,0.00728687233031587
103,CIDEC,2.054697,1.5254914,0.12713658924136376,CSNK1G2,0.32399535,1.078391,0.28085930335791276,ATP8A2,0.37237254,1.3864739,0.16560223147637554,LIN7A,0.7580358,0.9571253,0.33850401050786827,PSME2,0.3206167,1.7187003,0.08566895023992147,MOG,0.64327604,1.5951393,0.11068108364450813,PREX1,1.062481,2.6006818,0.0093038687166417
104,IL17D,0.9065613,1.5123537,0.1304439228780748,PER3,1.0352029,1.0724713,0.2835084164392113,GTF2A2,0.18241431,1.3737991,0.16950405873363117,TNFSF10,0.40069395,0.9105654,0.3625244326910887,CRACR2B,0.55048513,1.7159816,0.08616541797887338,CCM2,0.28888196,1.5846467,0.11304663367908367,IGHA2,1.9627601,2.5656621,0.010297910295196694
105,FGFR3,0.65162593,1.508283,0.13148210704090268,C1QC,0.5240511,1.0694748,0.284855756131844,MYO1B,0.606484,1.3671414,0.17158100935424492,ATP8A2,0.39958686,0.90681374,0.3645052922901455,CCM2,0.22693853,1.7039192,0.08839619961693852,XBP1,0.19418724,1.5783432,0.1144867903332987,FGF1,1.4258853,2.5446365,0.010939154093334218
106,LINC01411,2.835339,1.4730203,0.1407455594124142,MAD2L2,0.6666403,1.0659912,0.2864276121009176,IGKC,0.034922734,1.3512629,0.1766112102762163,KCNK12,0.35726082,0.9025709,0.36675368409158593,TPD52,0.21683379,1.7010971,0.08892475784717933,JAM3,0.66248643,1.5641949,0.11777180339136237,IGFBP5,0.66475177,2.4981256,0.012485199254412311
107,TIMP3,0.6693489,1.4248433,0.15420248234321626,PLIN1,0.6017149,1.0632384,0.28767384433531695,GLUD1,0.09955551,1.3284065,0.1840438612348234,PLEKHF2,0.8885189,0.8974124,0.3694988743135502,TMEM256,0.22487757,1.6984644,0.08942015712806411,IGKC,0.28614536,1.528271,0.12644528565216623,IGLC2,0.9581445,2.4923458,0.012690244559278318
108,PADI2,0.8417276,1.4107798,0.15830955530105562,LGALS3,0.17850468,1.0460395,0.29554279114396664,FAM32A,0.17956585,1.3267629,0.18458711804148709,SLC3A2,0.17831549,0.8915171,0.3726518307870591,EPM2AIP1,0.34945574,1.6908759,0.09086051782069068,GRIA3,0.31339845,1.5138657,0.13005988872104904,C1orf198,1.3870476,2.423239,0.015382800273867252
109,MSX2,4.7074823,1.3929968,0.16362076296162864,KDM3B,0.47073582,1.0433354,0.29679296615926887,EPAS1,0.17778224,1.3194366,0.18702319546921564,AGR3,0.24052632,0.88783246,0.3746308672974652,HLA-C,0.16411921,1.677953,0.09335626960499328,EFHD1,0.36811605,1.5121071,0.13050661642628733,PABPC1,0.33357716,2.418324,0.01559218670032098
110,ALB,4.0800166,1.372516,0.16990286203306015,LRRFIP1,0.45751858,1.0377811,0.2993719726864019,TP53I11,0.30874825,1.3186426,0.18728860035180073,TBC1D7,0.5424507,0.886113,0.37555663720227106,RNF44,0.39564964,1.6690052,0.09511636191981482,ADAP1,0.24586283,1.4920307,0.13569107584895737,TAGLN2,0.951742,2.4128172,0.015829752069555544
111,CNR1,0.696976,1.3719573,0.17007673520520594,TOX4,0.34542522,1.0337859,0.3012362659299296,MPC1,0.14256391,1.3138235,0.18890562443853554,YJU2,0.68208885,0.88508576,0.3761103681386221,C2CD5,0.6798431,1.6629825,0.09631593494407141,FGF1,0.50726587,1.4709862,0.14129484722025754,PADI2,1.1987154,2.3751578,0.01754144341723054
112,GNG5,0.53382754,1.3674716,0.17147752475888822,DAG1,0.34571972,1.0302778,0.3028795680270636,SLC2A1,0.17335892,1.3043103,0.19212778526956098,TOR1AIP1,0.37364578,0.87901175,0.3793948932302308,LRP11,0.3896407,1.6329383,0.1024819828693027,HSPA2,0.44251704,1.4692473,0.14176572191146092,S100A14,1.5022992,2.369856,0.017795013177362345
113,QKI,0.25378558,1.3350663,0.18185463838094473,SDC3,0.18927309,1.0227504,0.3064259044038493,VWF,0.32450175,1.291733,0.19644961838212616,PRKCSH,0.18729821,0.8727591,0.38279438838921764,SYNE1,0.28711057,1.6233364,0.10451749452218222,TPPP3,0.31129253,1.4528266,0.1462719003941824,RASSF2,1.5294205,2.333016,0.019647314990322795
114,FAT1,1.1092738,1.3176984,0.18760464146133293,ABHD12,0.17527437,1.0211912,0.3071638466071971,SNX14,0.26659364,1.2819275,0.19986810415932366,PIP,0.39154068,0.8714639,0.3835008962942783,PHAX,0.42485085,1.599487,0.1097124535846534,ADAMTS4,1.293081,1.444962,0.1484685402280454,GATA3,1.1988934,2.2896905,0.02203926657513847
115,MYBPC1,1.2847954,1.312191,0.18945567661252527,TCEA1,0.33895987,1.0196565,0.307891406896004,TERF1,0.36238033,1.2712026,0.20365659278717618,ARFIP2,0.28647363,0.8592266,0.3902155206420884,ISOC2,0.33257213,1.5850499,0.11295501087229165,NDRG1,0.3292297,1.4394885,0.15001216497042238,JAM3,1.4846361,2.2635906,0.023599307880386673
116,CALB2,0.7366245,1.2666001,0.20529829471030625,ARMT1,0.47282845,1.0122751,0.3114065453839324,COLEC12,0.6277481,1.2360195,0.21645133374558367,ABCF2,0.31541765,0.858311,0.390720749131667,COPG1,0.2833493,1.5821934,0.11360542704416074,CYB5B,0.39978224,1.4367616,0.1507857448042319,AIF1L,1.1019645,2.2087512,0.027191948577123738
117,ACTA2,1.0241657,1.2522492,0.21047905728303684,SEPT9,0.27471814,1.0005331,0.3170526106845878,MRPL3,0.24446712,1.2332478,0.2174833636954373,GEMIN7,0.59350985,0.85192436,0.39425606831776494,S100A11,0.11945893,1.5797155,0.11417202955516884,TJP1,0.41884056,1.4360502,0.15098804741976019,BST2,0.9954692,2.161967,0.030620709721668228
118,PAX6,1.4419252,1.2479233,0.21205917753818027,EZR,0.1679617,0.99368757,0.3203749841964718,SLC3A2,0.121548206,1.2321473,0.217894043680805,PIGX,0.26957476,0.8462523,0.39741199998774424,FNDC4,0.20720099,1.5789412,0.11434954832375806,TFF3,0.1858666,1.4053825,0.15990758007798989,AC018647.1,2.3066533,2.1396217,0.03238534284366258
119,PHYHD1,1.5475475,1.2311938,0.2182503963737732,MUC5B,0.51751196,0.9830905,0.32556288285793433,LRP11,0.21884373,1.2220492,0.22168899428270716,FLYWCH2,0.23384514,0.84323764,0.3990955471864468,LZTR1,0.5719197,1.572626,0.1158054346521512,SLC48A1,0.27609953,1.4037819,0.160383809830961,HLA-A,0.372256,2.1281078,0.03332814508158578
120,B3GAT2,1.402123,1.1503562,0.24999721959663723,GUCY1A2,0.38736066,0.96669555,0.33369625681217974,IARS,0.13606729,1.2048616,0.22825672043605183,TEX261,0.51471144,0.84093755,0.40038291351537014,DGCR6L,0.197747,1.533634,0.12511974635319692,EDIL3,0.28709164,1.403446,0.16048389525056805,SEMA3B,1.5006487,2.1266515,0.03344904959010161
121,APCDD1,0.8901585,1.1452479,0.25210647730242475,ACAT1,0.3052209,0.9522251,0.3409828482311582,KAT8,0.21525796,1.1974239,0.23114138212302637,DTNA,0.14652257,0.83667237,0.4027767605062146,SLC25A40,0.7199673,1.5248408,0.1272987941317787,PLLP,0.38433024,1.4002843,0.16142818963113093,GALNT6,1.47092,2.0725858,0.03821084088073063
122,RPS5,-0.19141202,1.1288377,0.2589662892378759,GLUL,0.10896294,0.9443808,0.3449750836674961,FOS,0.36714318,1.1875069,0.23502775205127147,KCNN1,0.31325343,0.8358461,0.40324147991288417,RAB11FIP3,0.2933617,1.5181471,0.12897730555607093,HBQ1,0.7094974,1.3881713,0.16508487272193262,FGFR2,1.2008833,2.0323095,0.04212231993766464
123,RXRG,2.167419,1.1264592,0.25997119152376424,VDAC2,0.14510307,0.9403125,0.3470572823614536,DDX18,0.28162968,1.1833422,0.23667352622135518,OPTN,0.11539705,0.82394373,0.40997152714560703,GRN,0.25002402,1.5040886,0.1325585436170956,PABPC1,0.16485982,1.3804253,0.1674557132979998,MAP4K4,1.0541757,1.9867315,0.046952154723304974
124,GALNT15,1.8433422,1.1194514,0.262947623118331,NIPSNAP1,0.2861904,0.9366096,0.34895939491759576,ISOC2,0.163359,1.1775341,0.23898238260317328,ADAP1,0.14756869,0.818495,0.4130745990826732,SNX6,0.4223769,1.4922327,0.13563815503018528,VWA1,0.4219749,1.3738848,0.1694774630561069,LDB3,3.211188,1.9535321,0.05075657507734976
125,SLC16A9,3.079759,1.0773565,0.28132106698356774,NPY,0.4032041,0.9357083,0.3494234093588323,JADE2,0.22264497,1.1616558,0.24537532072923085,IRX2,0.64096546,0.81425214,0.41550053233935946,AP1M1,0.23118435,1.4695188,0.1416921217828571,IGLC3,1.142702,1.3643603,0.172454178660443,PLXNB1,1.159339,1.950574,0.05110774481415783
126,HEPN1,1.1467899,1.0600523,0.28912080336039603,VPS29,0.17249854,0.93507487,0.349749707788673,CHMP7,0.40644374,1.158884,0.24650346557622382,LMTK2,0.1892336,0.8114161,0.4171267594871899,IARS,0.31076667,1.4693468,0.14173876472326474,SELENOP,0.25459227,1.3526623,0.17616352743712915,IGHA1,1.0759194,1.9035623,0.05696720888545202
127,CCDC80,1.3928214,1.0485429,0.2943885756259609,CD99,0.11334449,0.9303732,0.35217788845171516,LRRC41,0.20638448,1.1546916,0.24821675342518146,ANXA2,0.23115103,0.8109471,0.41739602428461486,GNG5,0.16631745,1.4656987,0.1427303730940098,IARS,0.34063905,1.3522276,0.17630251235811611,AZGP1,0.59603614,1.8240566,0.0681435068345456
128,EFEMP1,0.8222976,1.0454301,0.2958242702557069,GRSF1,0.16977662,0.9300565,0.35234182739776143,ERVK3-1,0.3459069,1.1526302,0.24906221577800136,ARHGEF6,0.9296032,0.8075529,0.4193480407955429,SLC25A26,0.48085794,1.4368935,0.1507482757624705,ATP8A2,0.52491134,1.3441852,0.1788884974763193,DEGS2,1.2632887,1.8216447,0.06850892310879066
129,LINC00844,0.5080741,1.0238796,0.30589210223051266,SARS2,0.7864166,0.92345464,0.35577031725177544,EXTL2,0.35055852,1.152073,0.24929106431219383,C2CD5,0.44018403,0.80458283,0.4210604507129778,GRSF1,0.2152149,1.4302169,0.15265476723204108,MYH10,0.2864863,1.3299974,0.18351911845582225,SPARC,0.40849197,1.7909027,0.07330890232625517
130,MYH11,2.5325274,1.0045801,0.3150990426862774,KCNN1,0.27271083,0.9154886,0.35993518701375793,CLPP,0.18714836,1.1205809,0.2624662834474245,REPS2,0.26368195,0.8036896,0.4215762628187819,MRPL3,0.3447787,1.4270852,0.15355534636423684,GAN,1.2950445,1.2974129,0.19448915057642757,HNRNPF,1.1312681,1.7770678,0.07555709150146125
131,LAMB2,0.71946985,0.9687109,0.3326894662011868,HES5,1.18605,0.9052326,0.36534218025352483,RBM15B,0.30709198,1.1174889,0.26378537155996873,SREBF1,0.22948974,0.80112153,0.42306128550598,TMEM144,0.31523892,1.4085011,0.15898274383945243,ACAT1,0.34443396,1.2782456,0.20116285768099385,TMEM235,2.9602506,1.7400683,0.08184703061685644
132,VWF,0.81281376,0.9624533,0.3358219518753943,GRIA3,0.20468955,0.892711,0.37201195539177256,ACAT1,0.15113537,1.1162632,0.26430951681779413,SYAP1,0.25487816,0.7974816,0.42517138240006325,HNRNPF,0.33042097,1.4038723,0.16035688553226868,LRRC75A,0.23863718,1.2727917,0.20309194912539175,NPY,0.97632915,1.7329687,0.08310122526271944
133,SLC25A33,0.7687937,0.9564192,0.33886048416707715,RGCC,0.18429594,0.8874977,0.37481098325288265,IGHG3,0.1925669,1.1082404,0.26775801573043356,IARS,0.24586302,0.79598546,0.426040502294215,COL1A1,0.09675313,1.4018418,0.1609624940052179,HNRNPAB,0.31170538,1.2537035,0.20994982019548958,SYPL1,1.060998,1.6583098,0.09725493862513569
134,TXNIP,0.64268464,0.9552539,0.33944931706912895,SMC2,0.8731897,0.8838679,0.376767505282682,CLPB,0.35466,1.0999252,0.2713647441514233,TXNIP,0.20426187,0.7855569,0.4321271252905362,UBAC1,0.21886571,1.3494794,0.17718302157730914,ELL2,0.396233,1.2272446,0.21973068200794965,SLC31A2,2.091578,1.6432916,0.10032261068648547
